Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"May 14, 2019",124.73,123.87,125.88,123.7,25.27M
"May 13, 2019",123.35,124.11,125.55,123.04,33.94M
"May 10, 2019",127.13,124.91,127.93,123.82,30.92M
"May 09, 2019",125.5,124.29,125.79,123.57,27.24M
"May 08, 2019",125.51,125.44,126.37,124.75,28.42M
"May 07, 2019",125.52,126.46,127.18,124.22,36.02M
"May 06, 2019",128.15,126.39,128.56,126.11,24.24M
"May 03, 2019",128.9,127.36,129.43,127.25,24.91M
"May 02, 2019",126.21,127.98,128.0,125.52,27.35M
"May 01, 2019",127.88,130.53,130.65,127.7,26.82M
"Apr 30, 2019",130.6,129.81,130.7,129.39,24.17M
"Apr 29, 2019",129.77,129.9,130.18,129.35,16.32M
"Apr 26, 2019",129.89,129.7,130.52,129.02,23.65M
"Apr 25, 2019",129.15,130.06,131.37,128.83,38.03M
"Apr 24, 2019",125.01,125.79,125.85,124.52,31.26M
"Apr 23, 2019",125.44,124.1,125.58,123.83,24.03M
"Apr 22, 2019",123.76,122.62,124.0,122.57,15.65M
"Apr 18, 2019",123.37,122.19,123.52,121.3,27.99M
"Apr 17, 2019",121.77,121.24,121.85,120.54,19.30M
"Apr 16, 2019",120.77,121.64,121.65,120.1,14.07M
"Apr 15, 2019",121.05,120.94,121.58,120.57,15.79M
"Apr 12, 2019",120.95,120.64,120.98,120.37,19.75M
"Apr 11, 2019",120.33,120.54,120.85,119.92,14.21M
"Apr 10, 2019",120.19,119.76,120.35,119.54,16.48M
"Apr 09, 2019",119.28,118.63,119.54,118.58,17.61M
"Apr 08, 2019",119.93,119.81,120.02,118.64,15.12M
"Apr 05, 2019",119.89,119.39,120.23,119.37,15.83M
"Apr 04, 2019",119.36,120.1,120.23,118.38,20.11M
"Apr 03, 2019",119.97,119.86,120.43,119.15,22.86M
"Apr 02, 2019",119.19,119.06,119.48,118.52,18.14M
"Apr 01, 2019",119.02,118.95,119.11,118.1,22.79M
"Mar 29, 2019",117.94,118.07,118.32,116.96,25.40M
"Mar 28, 2019",116.93,117.44,117.58,116.13,18.33M
"Mar 27, 2019",116.77,117.88,118.21,115.52,22.73M
"Mar 26, 2019",117.91,118.62,118.7,116.85,26.10M
"Mar 25, 2019",117.66,116.56,118.01,116.32,27.07M
"Mar 22, 2019",117.05,119.5,119.59,117.04,33.62M
"Mar 21, 2019",120.22,117.14,120.82,117.09,29.85M
"Mar 20, 2019",117.52,117.39,118.75,116.71,28.11M
"Mar 19, 2019",117.65,118.09,118.44,116.99,37.59M
"Mar 18, 2019",117.57,116.17,117.61,116.05,31.21M
"Mar 15, 2019",115.91,115.34,117.25,114.59,54.63M
"Mar 14, 2019",114.59,114.54,115.2,114.33,30.76M
"Mar 13, 2019",114.5,114.13,115.0,113.78,35.51M
"Mar 12, 2019",113.62,112.82,113.99,112.65,26.13M
"Mar 11, 2019",112.83,110.99,112.95,110.98,26.49M
