,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
138,2019-04-09,119.28,118.63,119.54,118.58,17610000,4,2019,-0.7571345369831062,Slight negative
139,2019-04-08,119.93,119.81,120.02,118.64,15120000,4,2019,0.54493628437291,Slight positive
140,2019-04-05,119.89,119.39,120.23,119.37,15830000,4,2019,-0.033352789126994686,Slight or No change
141,2019-04-04,119.36,120.1,120.23,118.38,20110000,4,2019,-0.44207189924097,Slight or No change
142,2019-04-03,119.97,119.86,120.43,119.15,22860000,4,2019,0.5110589812332478,Slight positive
143,2019-04-02,119.19,119.06,119.48,118.52,18140000,4,2019,-0.6501625406351574,Slight negative
144,2019-04-01,119.02,118.95,119.11,118.1,22790000,4,2019,-0.14262941521939743,Slight or No change
145,2019-03-29,117.94,118.07,118.32,116.96,25400000,3,2019,-0.9074105192404591,Slight negative
146,2019-03-28,116.93,117.44,117.58,116.13,18330000,3,2019,-0.8563676445650259,Slight negative
147,2019-03-27,116.77,117.88,118.21,115.52,22730000,3,2019,-0.13683400324981942,Slight or No change
148,2019-03-26,117.91,118.62,118.7,116.85,26100000,3,2019,0.976278153635346,Slight positive
149,2019-03-25,117.66,116.56,118.01,116.32,27070000,3,2019,-0.21202612161818069,Slight or No change
150,2019-03-22,117.05,119.5,119.59,117.04,33620000,3,2019,-0.5184429712731586,Slight negative
151,2019-03-21,120.22,117.14,120.82,117.09,29850000,3,2019,2.708244340025634,Positive
152,2019-03-20,117.52,117.39,118.75,116.71,28110000,3,2019,-2.2458825486607936,Negative
153,2019-03-19,117.65,118.09,118.44,116.99,37590000,3,2019,0.11061946902655162,Slight or No change
154,2019-03-18,117.57,116.17,117.61,116.05,31210000,3,2019,-0.0679983000425044,Slight or No change
155,2019-03-15,115.91,115.34,117.25,114.59,54630000,3,2019,-1.4119248107510418,Negative
156,2019-03-14,114.59,114.54,115.2,114.33,30760000,3,2019,-1.138814597532567,Negative
157,2019-03-13,114.5,114.13,115.0,113.78,35510000,3,2019,-0.07854088489397393,Slight or No change
158,2019-03-12,113.62,112.82,113.99,112.65,26130000,3,2019,-0.7685589519650593,Slight negative
159,2019-03-11,112.83,110.99,112.95,110.98,26490000,3,2019,-0.6953001232177458,Slight negative
160,2019-03-08,110.51,109.16,110.71,108.8,22820000,3,2019,-2.05619072941593,Negative
161,2019-03-07,110.39,111.4,111.55,109.86,25340000,3,2019,-0.10858745814859017,Slight or No change
162,2019-03-06,111.75,111.87,112.66,111.43,17690000,3,2019,1.231995651780049,Positive
163,2019-03-05,111.7,112.25,112.39,111.23,19540000,3,2019,-0.04474272930649059,Slight or No change
164,2019-03-04,112.26,113.02,113.25,110.8,26610000,3,2019,0.5013428827215671,Slight positive
165,2019-03-01,112.53,112.89,113.02,111.67,23500000,3,2019,0.24051309460182413,Slight or No change
166,2019-02-28,112.03,112.04,112.88,111.73,29080000,2,2019,-0.4443259575224401,Slight or No change
167,2019-02-27,112.17,111.69,112.36,110.88,21490000,2,2019,0.124966526823167,Slight or No change
168,2019-02-26,112.36,111.26,113.24,111.17,21540000,2,2019,0.16938575376659326,Slight or No change
169,2019-02-25,111.59,111.76,112.18,111.26,23750000,2,2019,-0.6852972588109574,Slight negative
170,2019-02-22,110.97,110.05,111.2,109.82,27760000,2,2019,-0.5556053409803807,Slight negative
171,2019-02-21,109.41,106.9,109.48,106.87,29060000,2,2019,-1.4057853473911863,Negative
172,2019-02-20,107.15,107.86,107.94,106.29,21610000,2,2019,-2.065624714377101,Negative
173,2019-02-19,108.17,107.79,108.66,107.78,18040000,2,2019,0.9519365375641575,Slight positive
174,2019-02-15,108.22,107.91,108.3,107.36,26610000,2,2019,0.04622353702505855,Slight or No change
175,2019-02-14,106.9,106.31,107.29,105.66,21780000,2,2019,-1.2197375716133774,Negative
176,2019-02-13,106.81,107.5,107.78,106.71,18390000,2,2019,-0.08419083255378768,Slight or No change
177,2019-02-12,106.89,106.14,107.14,105.48,25060000,2,2019,0.07489935399307424,Slight or No change
178,2019-02-11,105.25,106.2,106.58,104.97,18910000,2,2019,-1.5342875853681326,Negative
179,2019-02-08,105.67,104.39,105.78,104.26,21460000,2,2019,0.3990498812351584,Slight or No change
180,2019-02-07,105.27,105.19,105.59,104.29,29760000,2,2019,-0.37853695467020554,Slight or No change
181,2019-02-06,106.03,107.0,107.0,105.53,20610000,2,2019,0.7219530730502521,Slight positive
182,2019-02-05,107.22,106.06,107.27,105.96,27330000,2,2019,1.1223238706026484,Positive
183,2019-02-04,105.74,102.87,105.8,102.77,31320000,2,2019,-1.3803394889013276,Negative
184,2019-02-01,102.78,103.78,104.1,102.35,35540000,2,2019,-2.7993190845469917,Negative
185,2019-01-31,104.43,103.8,105.22,103.18,55640000,1,2019,1.6053706946876911,Positive
186,2019-01-30,106.38,104.62,106.38,104.33,49470000,1,2019,1.8672795173800605,Positive
187,2019-01-29,102.94,104.88,104.97,102.17,31490000,1,2019,-3.2336905433352103,Among top losers
188,2019-01-28,105.08,106.26,106.48,104.66,29480000,1,2019,2.0788809014960163,Positive
189,2019-01-25,107.17,107.24,107.88,106.59,31220000,1,2019,1.9889607917777052,Positive
190,2019-01-24,106.2,106.86,107.0,105.34,23160000,1,2019,-0.9051040403097899,Slight negative
191,2019-01-23,106.71,106.12,107.04,105.34,25870000,1,2019,0.48022598870056665,Slight or No change
192,2019-01-22,105.68,106.75,107.1,104.86,32369999,1,2019,-0.9652328741448613,Slight negative
193,2019-01-18,107.71,107.46,107.9,105.91,37430000,1,2019,1.9208932626797681,Positive
194,2019-01-17,106.12,105.0,106.62,104.76,28390000,1,2019,-1.4761860551480765,Negative
195,2019-01-16,105.38,105.26,106.25,104.96,29850000,1,2019,-0.697323784395032,Slight negative
196,2019-01-15,105.01,102.51,105.05,101.88,31590000,1,2019,-0.35111026760294983,Slight or No change
197,2019-01-14,102.05,101.9,102.87,101.26,28440000,1,2019,-2.8187791638891624,Negative
198,2019-01-11,102.8,103.19,103.44,101.64,28310000,1,2019,0.7349338559529572,Slight positive
199,2019-01-10,103.6,103.22,103.75,102.38,30070000,1,2019,0.7782101167315147,Slight positive
200,2019-01-09,104.27,103.86,104.88,103.24,32280000,1,2019,0.6467181467181504,Slight positive
201,2019-01-08,102.8,103.04,103.97,101.71,31510000,1,2019,-1.40980147693488,Negative
202,2019-01-07,102.06,101.64,103.27,100.98,35660000,1,2019,-0.7198443579766511,Slight negative
203,2019-01-04,101.93,99.72,102.51,98.93,44060000,1,2019,-0.1273760533019752,Slight or No change
204,2019-01-03,97.4,100.1,100.19,97.2,42580000,1,2019,-4.4442264299028755,Among top losers
205,2019-01-02,101.12,99.55,101.75,98.94,35330000,1,2019,3.8193018480492835,Among top gainers
206,2018-12-31,101.57,101.29,102.4,100.44,33170000,12,2018,0.4450158227848,Slight or No change
207,2018-12-28,100.39,102.09,102.41,99.52,38170000,12,2018,-1.1617603623117034,Negative
208,2018-12-27,101.18,99.3,101.19,96.4,49500000,12,2018,0.7869309692200455,Slight positive
209,2018-12-26,100.56,95.14,100.69,93.96,51630000,12,2018,-0.6127693220003949,Slight negative
